organization,release_count,total_labor_hours,all_in_production,licenses,most_active_months
USDOE Advanced Research Projects Agency – Energy (ARPA-E) (United States) (ARPA-E),1,0.0,True,['Other'],[10]
Nevada National Security Site/Mission Support and Test Services LLC (MSTS),1,881.6,True,['Unlicense'],[10]
National Energy Technology Laboratory (NETL),1,7220.0,True,['Other'],[10]
Fermi National Accelerator Laboratory (FNAL),20,35203.200000000004,False,"['MIT', 'GPL-3.0', 'MIT', 'Apache-2.0', 'MIT', 'Apache-2.0', 'BSD-3-Clause', 'Other', 'BSD-3-Clause', 'MIT', 'GPL-2.0', 'BSD-3-Clause', 'BSD-3-Clause', 'MIT', 'BSD-3-Clause', 'Apache-2.0', 'Apache-2.0', 'BSD-3-Clause', 'GPL-3.0', 'BSD-3-Clause']",[7]
Ames Laboratory (AMES),5,215049.59999999998,True,"['BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause']",[10]
Brookhaven National Laboratory (BNL),77,335266.39999999985,False,"['Other', 'Other', 'Other', 'Other', 'BSD-3-Clause', 'MIT', 'BSD-3-Clause', 'GPL-3.0', 'BSD-2-Clause', 'BSD-3-Clause', 'BSD-2-Clause', 'Other', 'Other', 'LGPL-3.0', 'Other', 'Other', 'BSD-3-Clause', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Apache-2.0', 'MIT', 'MIT', 'Other', 'Other', 'BSD-3-Clause', 'Other', 'Other', 'BSD-3-Clause', 'Other', 'BSD-3-Clause', 'Other', 'BSD-3-Clause', 'Other', 'GPL-3.0', 'BSD-3-Clause', 'MIT', 'Other', 'BSD-3-Clause', 'BSD-3-Clause', 'MIT', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause']",[7]
Thomas Jefferson National Accelerator Facility (TJNAF),5,758404.0,False,"['Other', 'Other', 'BSD-3-Clause', 'Other', 'Other']",[5]
SLAC National Accelerator Laboratory (SLAC),61,1406532.0000000002,False,"['Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'MIT', 'Other', 'Other', 'Apache-2.0', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'MIT', 'Other', 'LGPL-3.0', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Apache-2.0', 'Other', 'Other', 'Other', 'Other', 'Other', 'Apache-2.0', 'Other', 'Apache-2.0', 'Other', 'Other', 'Other', 'Apache-2.0', 'Other', 'Other', 'MIT', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other']",[2]
Princeton Plasma Physics Laboratory (PPPL),15,1936723.2,False,"['GPL-3.0', 'Other', 'GPL-3.0', 'MIT', 'Other', 'Other', 'BSD-3-Clause', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'GPL-3.0', 'AGPL-3.0']",[6]
Argonne National Laboratory (ANL),75,2233472.8,False,"['Other', 'BSD-2-Clause', 'LGPL-3.0', 'BSD-3-Clause', 'BSD-3-Clause', 'Other', 'Other', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'Other', 'BSD-3-Clause', 'BSD-3-Clause', 'GPL-2.0', 'BSD-3-Clause', 'BSD-3-Clause', 'GPL-3.0', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'GPL-3.0', 'BSD-3-Clause', 'BSD-3-Clause', 'Other', 'BSD-3-Clause', 'Other', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'BSD-3-Clause', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'BSD-3-Clause', 'BSD-3-Clause', 'Other', 'Other', 'BSD-3-Clause', 'BSD-3-Clause', 'MIT', 'BSD-3-Clause']",[7]
